"da";"da"
"Video";"Video"
"Videos";"Videoer"
"video";"video";"videoer"
"Post New Video";"Indsend Ny Video"
"Videos using the tag";"Videoer der bruger dette tag"
"By";"Af"
"View All Videos";"Vis Alle Videoer"
"Browse Videos";"Gennemse Videoer"
"My Videos";"Mine Videoer"
"%s view";"%s visning";"%s visninger"
"%s comment";"%s kommentar";"%s kommentarer"
"%s like";"%s synes godt om ";"%s synes godt om "
"%s rating";"%s bedømmelse";"%s bedømmelser"
"ADMIN_ACTIVITY_TYPE_VIDEO_NEW";"When a user (subject) posts a new video (object). "
"ADMIN_ACTIVITY_TYPE_COMMENT_VIDEO";"When a user (subject) comments on another user's (object) videos. "
"_ACTIVITY_ACTIONTYPE_VIDEO_NEW";"Nye Videoer"
"_ACTIVITY_ACTIONTYPE_COMMENT_VIDEO";"Kommenterer på dine videoer"
"ACTIVITY_TYPE_LIKE_VIDEO";"Når nogen synes godt om en af mine videoer"
"ACTIVITY_TYPE_LIKED_VIDEO";"Når nogen kommenter en video jeg synes godt om"
"ACTIVITY_TYPE_COMMENT_VIDEO";"Når nogen kommenterer på en af mine videoer"
"ACTIVITY_TYPE_COMMENTED_VIDEO";"Når nogen kommenterer på en video jeg har kommenteret"
"ACTIVITY_TYPE_VIDEO_PROCESSED";"Når en video er blevet behandlet."
"ACTIVITY_TYPE_VIDEO_PROCESSED_FAILED";"Når en video har fejlet i at blive behandlet."
"ACTIVITY_TYPE_VIDEO_NEW";"Når en ny video er indsendt."
"_CORE_ADMIN_STATS_VIDEO_EMBEDVIEWS";"Video Visninger fra Indlejring"
"Nobody has posted a video with that criteria.";"Ingen har indsendt en video med de kriterier."
"Nobody has created a video yet.";"Ingen har oprettet en video endnu."
"You have already uploaded the maximum number of videos allowed. If you would like to upload a new video, please delete an old one first.";"Du har allerede uploadet det maksimale antal tilladte videoer. Hvis du ønsker at uploade en ny video, skal du slette en gammel først."
"Your video is in queue to be processed - you will be notified when it is ready to be viewed.";"Din video er i kø til at blive behandlet - du vil blive underrettet, når det er klar til at blive set."
